Вінницька  ,0.770863,0.07427,0.076023,0.141944
Волинська  ,0.256011,0.116308,0.081871,0.04256
Дніпропетровська  ,0.571429,0.295844,0.157895,0.719122
Донецька  ,0.162659,0.071389,0.128655,0.026583
Житомирська  ,0.779349,0.073447,0.368421,0.007178
Закарпатська  ,0.670438,0.059937,0.538012,0.430927
Запорізька  ,0.264498,0.4031,0.05848,0.852082
Івано-Франківська  ,1,0.079139,1,0.262909
Київська  ,0.066478,0.388493,0.222222,0.693234
Кіровоградська  ,0.881188,0.176245,0.210526,0.894734
Луганська  ,0.691655,0,0.02924,0.037975
Львівська  ,0.570014,0.096146,0.438596,0.025008
Миколаївська  ,0.653465,0.320806,0.081871,0.129116
Одеська  ,0.441301,0.397545,0.087719,0.777845
Полтавська  ,0.254597,0.315732,0.122807,0.111008
Рівненська  ,0,0.109519,0.105263,0.062381
Сумська  ,0.373409,0.05061,0.116959,0.19335
Тернопільська  ,0.570014,0.057468,0.152047,0
Харківська  ,0.896747,0.094706,0.157895,0.833696
Херсонська  ,0.152758,1,0,0.170472
Хмельницька  ,0.724187,0.102249,0.345029,1
Черкаська  ,0.145686,0.407009,0.157895,0.527162
Чернівецька  ,0.72843,0.120971,0.192982,0.379012
Чернігівська  ,0.620934,0.108078,0.216374,0.002177
